,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
12340,badge,badZ,NOM,1,7.14,6.03,1.42,0.74,CVCC,CVCCV,1,5
13045,balte,balt,ADJ,1,0.52,0.05,2.23,0.34,CVCC,CVCCV,1,5
13527,barge,baRZ,ADJ,1,1.7,1.6,0.14,0.07,CVCC,CVCCV,1,5
13528,barge,baRZ,NOM,1,1.0,0.72,0.74,0.41,CVCC,CVCCV,1,5
13790,basque,bask,ADJ,1,8.73,7.51,3.58,3.24,CVCC,CVCCVV,1,6
13791,basque,bask,NOM,1,4.12,0.6,2.64,0.47,CVCC,CVCCVV,1,6
13834,baste,bast,NOM,1,1.21,1.21,0.14,0.14,CVCC,CVCCV,1,5
14446,belge,bElZ,ADJ,1,3.03,2.83,8.99,6.55,CVCC,CVCCV,1,5
14447,belge,bElZ,NOM,1,2.0,1.31,5.07,2.36,CVCC,CVCCV,1,5
14700,berge,bERZ,NOM,1,2.77,1.79,16.49,8.72,CVCC,CVCCV,1,5
14711,berk,bERk,ONO,1,1.35,1.35,0.95,0.95,CVCC,CVCC,1,4
14808,best,bEst,NOM,1,0.52,0.52,0.34,0.34,CVCC,CVCC,1,4
14902,beurk,b9Rk,ONO,1,4.01,4.01,0.54,0.54,CVCC,CVVCC,1,5
15637,black,blak,ADJ,1,2.67,2.45,0.47,0.47,CCVC,CCVCC,1,5
15638,black,blak,NOM,1,4.07,1.94,1.42,0.41,CCVC,CCVCC,1,5
15688,blâme,blam,NOM,1,2.04,1.85,4.73,4.05,CCVC,CCVCV,1,5
15815,blatte,blat,NOM,1,0.86,0.41,0.68,0.14,CCVC,CCVCCV,1,6
15817,blaze,blaz,NOM,1,0.53,0.48,3.18,2.77,CCVC,CCVCV,1,5
15826,bled,blEd,NOM,1,5.67,5.55,8.04,7.23,CCVC,CCVC,1,4
15828,blême,blEm,ADJ,1,1.48,1.16,14.73,11.62,CCVC,CCVCV,1,5
15971,block,blOk,NOM,1,1.06,0.7,0.27,0.0,CCVC,CCVCC,1,5
16081,blues,bluz,NOM,1,7.81,7.81,5.68,5.68,CCVC,CCVVC,1,5
16090,bluff,bl9f,NOM,1,3.02,3.0,1.62,1.55,CCVC,CCVCC,1,5
16536,boots,buts,NOM,1,0.54,0.54,0.95,0.95,CVCC,CVVCC,1,5
16609,borgne,bORN,ADJ,1,1.8,1.67,3.99,3.45,CVCC,CVCCCV,1,6
16610,borgne,bORN,NOM,1,1.12,0.99,1.96,1.89,CVCC,CVCCCV,1,6
